step,crossentropy weight,val crossentropy weight,accuracy,val accuracy,iou,val iou,iou_avg,val iou_avg,iou_weighted,val iou_weighted,crossentropy,val crossentropy,crossentropy_weighted,val crossentropy_weighted
1,5.674885493516922,5.787240123748779,0.7155899208117172,0.9454943428204655,0.5578804992997888,0.9012535915152576,0.19415059707655996,0.2370092865424413,0.6945509166279394,0.9087956589169981,1.3121701290210088,1.2942328572273254,5.674885493516922,5.787240123748779
2,5.624329534173012,5.673764053980509,0.9457670692957814,0.914579252601129,0.9012119481737427,0.8567764372357634,0.2379102982616013,0.23702385492858058,0.909536188139438,0.8802399100321103,1.2803350701928138,1.212706724802653,5.624329534173012,5.673764053980509
3,5.412283972899119,5.312031483650207,0.8397863837414801,0.7744975235030741,0.7434104221927968,0.6507363583921556,0.22460489555482244,0.21184763635464604,0.8125957097565178,0.7530231575291849,1.095325809220473,0.9956558565298717,5.412283972899119,5.312031483650207
4,5.157353581984838,5.312820792198181,0.7093403050376126,0.6825861137078992,0.5657543487190707,0.5198462937456093,0.20007201176590877,0.20110887453363827,0.6897691627118243,0.6656281613336247,1.0354830193022886,1.011636108160019,5.157353581984838,5.312820792198181
5,4.995826638738314,5.039248689015706,0.5780986222168321,0.6295307268717417,0.41611301684483337,0.46338284356855935,0.1716266166453951,0.19497406232448622,0.5592607711688934,0.6117037583539544,1.097238190472126,1.068036969502767,4.995826638738314,5.039248689015706
6,4.8158148994048435,4.78131004969279,0.6241257823902597,0.6089751964296005,0.46325241583030874,0.43949224084908173,0.19761993678086884,0.19351369147922654,0.6047845520870033,0.5890968902859498,1.0787096314132214,1.0988457957903544,4.8158148994048435,4.78131004969279
7,4.569801999131839,4.543765584627788,0.7274172392348023,0.7546164615441497,0.5801013708046735,0.6148320778129198,0.2578091959149214,0.29024674237591175,0.7075548186848231,0.7352832364517272,0.9996126155058543,0.9800890326499939,4.569801999131839,4.543765584627788
8,4.343320208787918,4.355355564753214,0.7386419171134241,0.7215648596459819,0.5983867557443088,0.5789657755100232,0.28470550408615203,0.2800196161061424,0.7174823572221818,0.7002675679591746,0.9955057660738628,1.0152406056722005,4.343320208787918,4.355355564753214
9,4.107622796297074,4.158426030476888,0.7608960648281881,0.6734997619309403,0.622100663820904,0.5125488283080499,0.3121707778838324,0.26247314792690196,0.7390448414438515,0.6495274474749996,0.9756701019903024,1.0610572973887125,4.107622796297074,4.158426030476888
10,3.9943230261405307,4.16811219851176,0.785713884869994,0.8305020071211348,0.6542630907010166,0.7126573759417518,0.333009585878751,0.3592052056759074,0.7636068515952701,0.8098087397593698,0.9514854192733765,0.9091698865095774,3.9943230261405307,4.16811219851176
11,3.8989697138468427,3.8899511814117433,0.8121474050428669,0.81156350089457,0.6887630190096492,0.6883548352361338,0.3538370119855474,0.35686670253083874,0.7902734046700819,0.7892234341150067,0.9260144342978796,0.9269135177135468,3.8989697138468427,3.8899511814117433
12,3.7864758570988974,3.8893462657928466,0.8341583027979164,0.8668795961006964,0.7198738947570494,0.7671940667185217,0.3759457303363141,0.4047913477757555,0.8121688913722919,0.8464319476543735,0.9048543935020764,0.8734620014826456,3.7864758570988974,3.8893462657928466
13,3.71764002541701,3.7765069643656415,0.8465860642296074,0.8710755906696808,0.737537723849741,0.7745986690185254,0.3907895224676247,0.40953819566019817,0.8247425825168577,0.8498384077136135,0.8927954350908597,0.8696735680103302,3.71764002541701,3.7765069643656415
14,3.6623946100473406,3.73788165251414,0.8589952943508152,0.8616054728599666,0.7561458948547944,0.7593308722258876,0.4060648473010586,0.4008160629834782,0.8373736713722182,0.8396632038124878,0.8810093730688096,0.8789929926395417,3.6623946100473406,3.73788165251414
15,3.6186641146739325,3.71734668413798,0.8696535107599249,0.8498567160887097,0.7721801574566255,0.7414450348620197,0.4175572206591863,0.3883455309482781,0.8481866159016243,0.8271503087913936,0.8706899146238963,0.8905099848906199,3.6186641146739325,3.71734668413798
16,3.589972483118375,3.7125699202219646,0.8745669674505504,0.8443080108086678,0.7798301738504085,0.7338768962320692,0.42564951803890183,0.3834359161396791,0.8532689878188358,0.8213550713143098,0.866035578896602,0.8961643079916636,3.589972483118375,3.7125699202219646
